instruction,input,output,text
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालले संयुक्त राष्ट्र संघमा सदस्यता लिने वर्ष कुन हो?,२०११ साल,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालले संयुक्त राष्ट्र संघमा सदस्यता लिने वर्ष कुन हो? ### Response: २०११ साल"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानन्यायाधीश को हुनुहुन्छ?,चोलेन्द्र शम्शेर जबरा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानन्यायाधीश को हुनुहुन्छ? ### Response: चोलेन्द्र शम्शेर जबरा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कति मिटर उचाईमा छ ?,"सगरमाथा 8,848.86 मिटर उचाईमा छ।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कति मिटर उचाईमा छ ? ### Response: सगरमाथा 8,848.86 मिटर उचाईमा छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पाठ कुन हो?,"सयौं थुँगा फूलका हामी, एउटै माला नेपाली","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पाठ कुन हो? ### Response: सयौं थुँगा फूलका हामी, एउटै माला नेपाली"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रजातान्त्रिक गणतन्त्रको घोषणा कहिले भयो?,२०६३ जेठ १५ गते,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रजातान्त्रिक गणतन्त्रको घोषणा कहिले भयो? ### Response: २०६३ जेठ १५ गते"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,रातो लहरा ,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: रातो लहरा "
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको कुन जिल्ला सबै भन्दा ठूलो छ ?,ढोल्खा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको कुन जिल्ला सबै भन्दा ठूलो छ ? ### Response: ढोल्खा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानमन्त्री को हुन्?,खाग शेर बहादूर देउवा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानमन्त्री को हुन्? ### Response: खाग शेर बहादूर देउवा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको संविधान सभाको अध्यक्ष कस्ले गर्नुभएको थियो?,सुभाष नेम्वाङ नेपालको संविधान सभाको अध्यक्ष थिए।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको संविधान सभाको अध्यक्ष कस्ले गर्नुभएको थियो? ### Response: सुभाष नेम्वाङ नेपालको संविधान सभाको अध्यक्ष थिए।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,लाली गुराँस,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: लाली गुराँस"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,लाली गुरास,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: लाली गुरास"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फुल कुन हो?,लालीगुराँस,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फुल कुन हो? ### Response: लालीगुराँस"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको क्षेत्रफल कति हो?,"नेपालको क्षेत्रफल १४७,५१६ वर्ग किलोमिटर हो।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको क्षेत्रफल कति हो? ### Response: नेपालको क्षेत्रफल १४७,५१६ वर्ग किलोमिटर हो।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कति मिटर उचाईको हो?,"सगरमाथा 8,848.86 मिटर उचाईको हो।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कति मिटर उचाईको हो? ### Response: सगरमाथा 8,848.86 मिटर उचाईको हो।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कति मिटर उचाईमा छ?,"सगरमाथा ८,८४८ मिटर उचाईमा छ।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कति मिटर उचाईमा छ? ### Response: सगरमाथा ८,८४८ मिटर उचाईमा छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,रोडोडेन्ड्रन या गुरास,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: रोडोडेन्ड्रन या गुरास"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानमन्त्री को हुन्?,केपी शर्मा ओली,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानमन्त्री को हुन्? ### Response: केपी शर्मा ओली"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,रातो रोइन्जो हो,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: रातो रोइन्जो हो"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपाल भूलोकमा कतिऔं स्थानमा रहेको छ?,नेपाल भूलोकमा ९३औं स्थानमा रहेको छ।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपाल भूलोकमा कतिऔं स्थानमा रहेको छ? ### Response: नेपाल भूलोकमा ९३औं स्थानमा रहेको छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राजधानी कुन हो?,काठमाडौं,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राजधानी कुन हो? ### Response: काठमाडौं"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कति मिटर उचाईको छ ?,"सगरमाथा 8,848.86 मिटर उचाईको छ।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कति मिटर उचाईको छ ? ### Response: सगरमाथा 8,848.86 मिटर उचाईको छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानन्यायाधीश को हुन्?,चोलेन्द्र शम्शेर जबरा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानन्यायाधीश को हुन्? ### Response: चोलेन्द्र शम्शेर जबरा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल कुन हो?,लालीगुराँस,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल कुन हो? ### Response: लालीगुराँस"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कति मिटर उचाईमा छ ?,"सगरमाथा 8,848 मिटर उचाईमा छ।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कति मिटर उचाईमा छ ? ### Response: सगरमाथा 8,848 मिटर उचाईमा छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",माउन्ट एभरेस्ट कुन देशमा रहेको छ?,माउन्ट एभरेस्ट नेपालमा रहेको छ।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: माउन्ट एभरेस्ट कुन देशमा रहेको छ? ### Response: माउन्ट एभरेस्ट नेपालमा रहेको छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,रातो रहुनियाँ,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: रातो रहुनियाँ"
"If you are a instructor, please answer the questions related to quiz based on the user's query",महत्त्वपूर्ण चिनियाँ निर्यातक देश कुन हो?,चीन,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: महत्त्वपूर्ण चिनियाँ निर्यातक देश कुन हो? ### Response: चीन"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो ?,लालीगुरास,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो ? ### Response: लालीगुरास"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,रातो मकैनो,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: रातो मकैनो"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कति मिटर उचाईमा छ?,"सगरमाथा 8,848 मिटर उचाईमा छ।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कति मिटर उचाईमा छ? ### Response: सगरमाथा 8,848 मिटर उचाईमा छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,लाली गुराँस हो,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: लाली गुराँस हो"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथाको उचाई कति हो?,"८,८४८ मिटर","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथाको उचाई कति हो? ### Response: ८,८४८ मिटर"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानमन्त्री को हुन्?,शेर बहादुर देउवा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानमन्त्री को हुन्? ### Response: शेर बहादुर देउवा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानमन्त्री को हुन्?,शेर बहादूर देउवा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानमन्त्री को हुन्? ### Response: शेर बहादूर देउवा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,रोडोडेन्ड्रन (लालीगुरास),"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: रोडोडेन्ड्रन (लालीगुरास)"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पखेरा कुन हो?,डाँफे,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पखेरा कुन हो? ### Response: डाँफे"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथाको अंग्रेजी नाम के हो?,सगरमाथाको अंग्रेजी नाम माउन्ट एभरेस्ट हो।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथाको अंग्रेजी नाम के हो? ### Response: सगरमाथाको अंग्रेजी नाम माउन्ट एभरेस्ट हो।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय वृक्ष कुन हो?,साल,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय वृक्ष कुन हो? ### Response: साल"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राजधानी कुन हो?,काठमाडौं,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राजधानी कुन हो? ### Response: काठमाडौं"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानमन्त्री को हुन्?,शेर बहादुर देउवा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानमन्त्री को हुन्? ### Response: शेर बहादुर देउवा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,रातो लहरा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: रातो लहरा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",संयुक्त राज्य अमेरिकाको राष्ट्रिय पशु के हो?,बाल्ड ईगल,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: संयुक्त राज्य अमेरिकाको राष्ट्रिय पशु के हो? ### Response: बाल्ड ईगल"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,लालीगुराँस,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: लालीगुराँस"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल कुन हो?,सुनखडी,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल कुन हो? ### Response: सुनखडी"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पाठ के हो?,सयौं थुँगा फूलका,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पाठ के हो? ### Response: सयौं थुँगा फूलका"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय ध्वजको आकार कस्तो हो?,नेपालको राष्ट्रिय ध्वज दुई पेन्नाको आकारको हो।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय ध्वजको आकार कस्तो हो? ### Response: नेपालको राष्ट्रिय ध्वज दुई पेन्नाको आकारको हो।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कुन देशमा रहेको छ?,सगरमाथा नेपालमा रहेको छ।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कुन देशमा रहेको छ? ### Response: सगरमाथा नेपालमा रहेको छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",संविधान सभा को अध्यक्ष को हुन्थ्यो?,निलाम्बन खड्का,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: संविधान सभा को अध्यक्ष को हुन्थ्यो? ### Response: निलाम्बन खड्का"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कति मिटर उचाईमा छ ?,"सगरमाथा 8,848 मिटर उचाईमा छ।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कति मिटर उचाईमा छ ? ### Response: सगरमाथा 8,848 मिटर उचाईमा छ।"
